# lattice site	net spin density	electron density	spin-up electron density	spin-down electron density
1.00	0.06	1.01	0.57	0.44
2.00	-0.00	1.00	0.50	0.50
3.00	-0.03	1.02	0.47	0.54
4.00	-0.00	1.00	0.50	0.50
5.00	0.06	1.01	0.57	0.44
6.00	-0.09	1.00	0.41	0.59
7.00	0.00	1.00	0.50	0.50
8.00	-0.02	1.00	0.48	0.52
9.00	-0.00	1.00	0.50	0.50
10.00	0.00	1.00	0.50	0.50
11.00	0.03	1.00	0.53	0.47
12.00	0.00	1.00	0.50	0.50
13.00	0.12	1.00	0.62	0.38
14.00	-0.09	1.00	0.41	0.59
15.00	0.00	1.00	0.50	0.50
16.00	-0.01	1.00	0.49	0.51
17.00	-0.00	1.00	0.50	0.50
18.00	-0.08	0.99	0.41	0.58
19.00	0.00	1.00	0.50	0.50
20.00	0.03	0.99	0.52	0.47
21.00	0.03	0.99	0.52	0.47
22.00	-0.00	1.00	0.50	0.50
# Number of iterations = 15
#  Net magnetization = -4.440892098500626e-16
